DATE,IRLTLT01JPM156N
2019-01-01,0
2019-02-01,-0.015
2019-03-01,-0.095
2019-04-01,-0.045
2019-05-01,-0.095
2019-06-01,-0.165
2019-07-01,-0.16
2019-08-01,-0.28
2019-09-01,-0.215
2019-10-01,-0.15
2019-11-01,-0.08
2019-12-01,-0.025
2020-01-01,-0.065
2020-02-01,-0.155
2020-03-01,0.005
2020-04-01,-0.04
2020-05-01,0
2020-06-01,0.03
2020-07-01,0.01
2020-08-01,0.045
2020-09-01,0.015
2020-10-01,0.04
2020-11-01,0.03
2020-12-01,0.02
2021-01-01,0.055
2021-02-01,0.15
2021-03-01,0.12
2021-04-01,0.09
2021-05-01,0.08
2021-06-01,0.05
2021-07-01,0.015
2021-08-01,0.02
2021-09-01,0.065
2021-10-01,0.095
2021-11-01,0.05
2021-12-01,0.07
2022-01-01,0.17
2022-02-01,0.18
2022-03-01,0.21
2022-04-01,0.215
2022-05-01,0.235
2022-06-01,0.225
2022-07-01,0.18
2022-08-01,0.22
2022-09-01,0.24
2022-10-01,0.245
2022-11-01,0.25
2022-12-01,0.41
2023-01-01,0.49
2023-02-01,0.5
2023-03-01,0.32
2023-04-01,0.385
2023-05-01,0.43
2023-06-01,0.395
2023-07-01,0.595
2023-08-01,0.64
2023-09-01,0.765
2023-10-01,0.95
2023-11-01,0.66
2023-12-01,0.62
2024-01-01,0.73
2024-02-01,0.71
2024-03-01,0.725
